codigo_registro,data_pregao,codigo_mercado,ativo,codigo_bdi,nome,especificador,identificacao_mercado,moeda_cotacao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,preco_melhor_compra,preco_melhor_venda,numero_negocios,quantidade_acoes,volume_financeiro,preco_fechamento_ajustado,fator_ajuste,codigo_papel_registro
01,2022-01-14,02,PETR4,010,PETROBRAS,PN,N2,R$,30.28,31.6,30.24,31.08,31.45,31.44,0,31455168400000,964588000.0,29981967.72,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-14,02,BRFS3,010,BRF SA,ON,NM,R$,24.05,24.56,23.9,24.29,24.3,24.03,0,24302089900000,58247000.0,1415221.11,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-08,02,VALE3,010,VALE,ON,NM,R$,106.99,107.11,99.72,102.2,100.46,100.46,0,100513110300000,530602000.0,54229885.64,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-01,02,PETR4,010,PETROBRAS,PN,N2,R$,32.35,33.32,31.95,32.83,33.0,33.0,0,33059203900000,573152000.0,18820938.76,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-01,02,BRFS3,010,BRF SA,ON,NM,R$,22.19,22.36,21.5,21.91,21.63,21.62,0,21631657400000,107178000.0,2349273.95,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-08,02,PETR4,010,PETROBRAS,PN,N2,R$,32.0,32.97,31.51,32.36,32.46,32.46,0,32478319000000,1116335000.0,36130621.15,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-03-08,02,BRFS3,010,BRF SA,ON,NM,R$,14.47,15.63,14.26,15.14,15.37,15.35,0,15373046700000,156473000.0,2369003.88,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-17,02,VALE3,010,VALE,ON,NM,R$,88.85,89.0,85.37,86.58,85.65,85.65,0,85708458300000,362593000.0,31395709.49,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-17,02,PETR4,010,PETROBRAS,PN,N2,R$,32.85,33.29,32.55,32.81,32.8,32.79,0,32807170700000,432552000.0,14193324.39,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-17,02,BRFS3,010,BRF SA,ON,NM,R$,18.94,19.05,18.75,18.86,18.95,18.95,0,18972960300000,152720000.0,2880640.1,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
